ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,
1,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Theo định nghĩa của Microsoft, Trí tuệ nhân tạo (AI) là nỗ lực để tạo ra gì?",Tạo ra rô bốt có khả năng di chuyển và tương tác vật lý.,"Tạo ra một máy tính, rô bốt hoặc công nghệ khác ""suy nghĩ"" và xử lý dữ liệu theo cách giống như con người chúng ta.",Tạo ra phần mềm có khả năng lập trình tự động.,Tạo ra một hệ thống tự động hóa hoàn toàn các quy trình sản xuất.,B,"Tạo ra một máy tính, rô bốt hoặc công nghệ khác ""suy nghĩ"" và xử lý dữ liệu theo cách giống như con người chúng ta.",
2,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Mục đích của Trí tuệ nhân tạo là gì?,"Từ 5 - 10 triệu, buộc gỡ bỏ thông tin vi phạm. Trong trường hợp gây ảnh hưởng đến danh dự, uy tín của người khác 10 - 15 triệu",Tự động hóa các tác vụ lặp đi lặp lại.,Cải thiện khả năng kết nối giữa các thiết bị.,"Cải thiện công nghệ bằng cách bổ sung chức năng liên quan đến hành vi và cách con người suy luận, học tập và giải quyết vấn đề.",D,"Cải thiện công nghệ bằng cách bổ sung chức năng liên quan đến hành vi và cách con người suy luận, học tập và giải quyết vấn đề.",
3,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong các năng lực sau, năng lực nào được coi là cốt lõi mà một module AI phải đáp ứng?",Tạo ra một lượng lớn rác thải điện tử từ các thiết bị đào lỗi thời.,Không quan tâm đến quyền riêng tư và chia sẻ mọi thông tin cá nhân.,"Kích thích não bộ, làm cho người dùng cảm thấy tỉnh táo và khó ngủ hơn.","Suy diễn, học, giải quyết vấn đề, nhận thức và trí thông minh ngôn ngữ.",D,"Suy diễn, học, giải quyết vấn đề, nhận thức và trí thông minh ngôn ngữ.",
4,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong bối cảnh chuyển đổi số, Trí tuệ nhân tạo (AI) thường được ví như bộ phận nào của con người?",OpenRefine,Xóa thông tin,Hệ thần kinh.,Hibernate Mode,C,Hệ thần kinh.,
5,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Theo nghĩa hẹp, trí tuệ nhân tạo nhằm mục đích gì?",Im lặng và hy vọng mọi người sẽ quên đi.,Tăng cường năng lực trí tuệ của con người.,Xử lý dữ liệu lớn trên các máy chủ ảo.,Phân tích các mối quan hệ xã hội phức tạp.,B,"""Tăng cường năng lực trí tuệ của con người"".",
6,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Khi một hệ thống AI tích hợp nhiều module AI, nó bao gồm hai yếu tố chính nào?",Mô tả chi tiết nội dung muốn sử dụng.,Chia sẻ mọi thông tin mà không cần kiểm chứng,Tác nhân và môi trường xung quanh của nó.,Nền tảng Cloud và mạng lưới cảm biến.,C,Tác nhân và môi trường xung quanh của nó.,
7,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Trí thông minh của các tác nhân AI được đo lường bằng khả năng nào của chúng?,Các bình luận tương tác của người dùng trên YouTube,Giúp nội dung trở nên phức tạp và học thuật hơn.,Khả năng tạo ra các mục tiêu và đạt được chúng.,Khả năng tương tác với các ứng dụng di động.,C,Khả năng tạo ra các mục tiêu và đạt được chúng.,
8,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong bối cảnh AI, thuật toán học sâu dựa trên mô phỏng cấu trúc nào?",Quyền đăng tải mọi thông tin không cần kiểm chứng,Tuân thủ mệnh lệnh từ lãnh đạo một cách tuyệt đối,Mạng nơ-ron và hoạt động của bộ não con người.,Tăng tốc độ truyền tải và lưu trữ dữ liệu.,C,Mạng nơ-ron và hoạt động của bộ não con người.,
9,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Thuật ngữ nào sau đây được xem là một nhánh của Trí tuệ nhân tạo, có mục tiêu làm cho máy móc có khả năng học tập như con người?",Lập trình hướng đối tượng.,Chuyên gia phân tích dữ liệu.,Máy học (Machine Learning).,Chuỗi khối (Blockchain).,C,Máy học (Machine Learning).,
10,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Trí tuệ nhân tạo giúp giải quyết vấn đề gì liên quan đến các cuộc họp tại công sở?,Nhấp vào liên kết để kiểm tra xem trang web có hợp pháp không.,Trả lời những câu hỏi nền tảng để tiết kiệm thời gian họp.,Nhân bản vô tính các loài động vật có nguy cơ tuyệt chủng.,Phần mềm có thể xử lý lượng lớn dữ liệu một cách tự động.,B,Trả lời những câu hỏi nền tảng để tiết kiệm thời gian họp.,
11,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực sản xuất, AI có thể giúp tối ưu hóa hoạt động bằng cách nào?",Khó khăn trong việc thay đổi thói quen của người dân.,Tăng cường sử dụng các công cụ phần mềm văn phòng.,Hỗ trợ bảo trì tiên đoán để tối ưu hóa kế hoạch bảo trì.,Thay thế toàn bộ hệ thống dây điện cũ bằng dây điện mới.,C,Hỗ trợ bảo trì tiên đoán để tối ưu hóa kế hoạch bảo trì.,
12,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Ba module AI phải đáp ứng được năng lực nào sau đây?,"Suy diễn, Phân tích, Lập trình.","Suy diễn, Học, Giải quyết vấn đề.","Trình bày, Thấu cảm, Sáng tạo.","Lập trình, Tính toán, Tích hợp.",B,"Suy diễn, Học, Giải quyết vấn đề.",
13,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Khả năng tạo ra các mục tiêu và đạt được chúng là thước đo cho điều gì trong hệ thống AI?,Phát tán thông tin chưa kiểm chứng,Khả năng tương tác với người dùng.,Đặt biểu đồ xa bảng dữ liệu gốc,Trí thông minh của các tác nhân AI.,D,Trí thông minh của các tác nhân AI.,
14,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Điều gì là nguồn gốc của sự phát triển đột phá trong Máy học (Machine Learning)?,Sử dụng tất cả các ứng dụng và thiết bị có sẵn một cách tối đa.,Cần hỏi ý kiến và nhận được đồng ý của các thành viên mới chia sẻ,Dữ liệu ngày càng nhiều và năng lực tính toán ngày càng mạnh.,Tất cả các thông tin được lưu trữ trên máy tính hoặc điện thoại.,C,Dữ liệu ngày càng nhiều và năng lực tính toán ngày càng mạnh.,
15,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong một hệ thống AI, các module AI được tích hợp phải đáp ứng năng lực về Trí thông minh ngôn ngữ, điều này liên quan đến khả năng nào?",Dữ liệu không được lưu tự động,Khả năng viết mã lập trình phức tạp.,Khả năng nhận diện cảm xúc.,Khả năng xử lý ngôn ngữ tự nhiên.,D,Khả năng xử lý ngôn ngữ tự nhiên.,
16,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực điều trị và chăm sóc sức khỏe, AI hỗ trợ bác sĩ trong quy trình nào sau đây?",Che giấu những điểm yếu của quy trình,"Chẩn đoán, phát triển điều trị và thuốc.",Lập kế hoạch tài chính cho bệnh viện.,Xây dựng chính sách y tế công cộng.,B,"Chẩn đoán, phát triển điều trị và thuốc.",
