ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer
1,Module 1. Khai thác dữ liệu và thông tin,1,1,Dữ liệu thô là?,Yêu cầu người dân giảm mức tiêu thụ điện.,Khối lượng dữ liệu mang tính tổng hợp để suy luận,"Các sự kiện, con số, ký hiệu chưa được xử lý",Con người là nguồn gốc duy nhất của dữ liệu.,C,"Các sự kiện, con số, ký hiệu chưa được xử lý"
2,Module 1. Khai thác dữ liệu và thông tin,1,1,Ví dụ nào dưới đây là dữ liệu thô?,Bản ghi “Sinh viên A đạt 8.5 Toán”,"“25.000”, “áo thun”, “Hà Nội”",Đánh giá dựa trên tổng hợp điểm,Tài liệu: Báo cáo học tập năm,B,"“25.000”, “áo thun”, “Hà Nội”"
3,Module 1. Khai thác dữ liệu và thông tin,1,1,Thông tin là:,Tác giả phải là người nổi tiếng trên mạng xã hội,Ngồi sai tư thế khi làm việc với máy tính để bàn.,"Dữ liệu đã được xử lý, tổ chức và mang ý nghĩa",Những quan điểm cá nhân được thu thập từ mạng xã hội,C,"Dữ liệu đã được xử lý, tổ chức và mang ý nghĩa"
4,Module 1. Khai thác dữ liệu và thông tin,1,1,Ví dụ nào sau đây là tri thức?,Để mua các phần mềm và giấy phép bản quyền đắt tiền.,Phân tích xu hướng khách hàng và đề xuất hành động,Việc hoàn toàn từ bỏ công nghệ để bảo vệ sức khỏe.,Tranh luận triệt để nếu không cùng quan điểm với mình,B,Phân tích xu hướng khách hàng và đề xuất hành động
5,Module 1. Khai thác dữ liệu và thông tin,1,1,Sự khác biệt giữa thông tin và tri thức nằm ở:,"Do cáp mạng bị lỏng, cần cắm lại",Sau khi tác phẩm được công bố 1 năm,Mức độ xử lý và khả năng suy luận,Danh sách các công cụ sẽ sử dụng,C,Mức độ xử lý và khả năng suy luận
6,Module 1. Khai thác dữ liệu và thông tin,1,1,Dữ liệu có cấu trúc thường được lưu trữ trong:,Tối ưu hóa công cụ tìm kiếm (SEO).,Hệ thống cơ sở dữ liệu quan hệ,"Type, Rating, Artist, Size",Sao chép góp ý của người khác,B,Hệ thống cơ sở dữ liệu quan hệ
7,Module 1. Khai thác dữ liệu và thông tin,1,1,Dữ liệu phi cấu trúc là:,Lỗi màn hình hiển thị sai màu,Hướng dẫn lập trình Python cơ bản.,"Văn bản tự do, video, hình ảnh",Trang blog cá nhân ẩn danh,C,"Văn bản tự do, video, hình ảnh"
8,Module 1. Khai thác dữ liệu và thông tin,1,1,Ví dụ nào sau đây là dữ liệu bán cấu trúc?,"JSON, XML",Dấu sao (*),Bảo vệ web,ZingMP3,A,"JSON, XML"
9,Module 1. Khai thác dữ liệu và thông tin,1,1,Điểm yếu của dữ liệu phi cấu trúc là:,Chuyên gia phân tích dữ liệu.,"Rất khó truy xuất, phân tích",Đọc qua một nguồn duy nhất,Flickr (với bộ lọc giấy phép),B,"Rất khó truy xuất, phân tích"
10,Module 1. Khai thác dữ liệu và thông tin,1,1,Đặc điểm nào KHÔNG đúng với dữ liệu có cấu trúc?,Sử dụng phần mềm trình chiếu.,Linh hoạt cao khi thay đổi,Được lưu trữ dưới dạng bảng biểu,Mang tính đồng bộ nhất quán cao,B,Linh hoạt cao khi thay đổi
11,Module 1. Khai thác dữ liệu và thông tin,1,1,“Velocity” trong mô hình 4V nói về:,Tính phong phú của dữ liệu,Tốc độ sinh ra và xử lý dữ liệu,Chuyển giọng nói thành văn bản.,Năng lực đánh giá tri thức.,B,Tốc độ sinh ra và xử lý dữ liệu
12,Module 1. Khai thác dữ liệu và thông tin,1,1,Dữ liệu từ mạng xã hội thường là ví dụ cho yếu tố nào?,Veracity,Volume,Variety,Value,C,Variety
13,Module 1. Khai thác dữ liệu và thông tin,1,1,“Veracity” nghĩa là:,Dùng từ ngữ xúc phạm người khác,Thông tin được trình bày trung lập,Độ chính xác và tin cậy của dữ liệu,Giai đoạn truyền đạt kiến thức.,C,Độ chính xác và tin cậy của dữ liệu
14,Module 1. Khai thác dữ liệu và thông tin,1,1,Thách thức của “Volume” là gì?,Biểu đồ tròn (Pie Chart),Lỗi bàn phím không gõ được,Cần hệ thống lưu trữ mở rộng,Không thể chia sẻ dữ liệu,C,Cần hệ thống lưu trữ mở rộng
15,Module 1. Khai thác dữ liệu và thông tin,1,1,Một ví dụ của “Variety” là:,Chỉ đọc các bài không có trích dẫn,Vì Zalo là ứng dụng trả phí rất đắt,"Video, hình ảnh, văn bản, cảm biến",Cấu trúc phân cấp của tổ chức.,C,"Video, hình ảnh, văn bản, cảm biến"
16,Module 1. Khai thác dữ liệu và thông tin,1,1,Kỹ năng “Đọc lướt” còn được gọi là:,Scanning,Browsing,Skimming,Jumping,C,Skimming
17,Module 1. Khai thác dữ liệu và thông tin,1,1,"Khi đọc lướt, bạn nên đọc những phần nào?","Câu đầu đoạn, tiêu đề, đoạn mở đầu và kết",An sinh số quan trọng hơn Sức khỏe số.,"Dữ liệu sinh trắc học như vân tay, khuôn mặt.",Sử dụng quá nhiều tài nguyên hệ thống.,A,"Câu đầu đoạn, tiêu đề, đoạn mở đầu và kết"
18,Module 1. Khai thác dữ liệu và thông tin,1,1,Chiến lược duyệt trang web hiệu quả KHÔNG bao gồm:,Public Domain (Miền công cộng),Mở tất cả liên kết cùng lúc,Để tải văn bản về máy nhanh hơn,Quan sát cấu trúc trang,B,Mở tất cả liên kết cùng lúc
19,Module 1. Khai thác dữ liệu và thông tin,1,1,Nguồn nào đáng tin cậy hơn?,Blog không rõ tác giả,Trang .com quảng cáo,Tên miền .edu hoặc .gov,Trang mạng xã hội cá nhân,C,Tên miền .edu hoặc .gov
20,Module 1. Khai thác dữ liệu và thông tin,1,1,Một cách đánh giá nhanh độ tin cậy của trang là:,Làm hỏng phần cứng của thiết bị.,Giúp nội dung được nhiều người xem hơn.,"Có thông tin tác giả, ngày cập nhật",Sự phổ biến của thiết bị di động.,C,"Có thông tin tác giả, ngày cập nhật"
21,Module 1. Khai thác dữ liệu và thông tin,1,1,Toán tử “-” dùng để:,Tìm cụm từ chính xác,Loại trừ từ khóa,Thêm từ khóa,Tìm định nghĩa,B,Loại trừ từ khóa
22,Module 1. Khai thác dữ liệu và thông tin,1,1,"Dấu ngoặc kép """" trong tìm kiếm dùng để:",Loại trừ kết quả,Mở rộng phạm vi tìm,Tìm cụm từ chính xác,Đăng tải lên mạng xã hội,C,Tìm cụm từ chính xác
23,Module 1. Khai thác dữ liệu và thông tin,1,1,"Để tìm bài viết về AI trên vnexpress.net, bạn dùng cú pháp:",AI inurl:vnexpress,AI site:vnexpress.net,AI filetype:vnexpress,AI intitle:vnexpress,B,AI site:vnexpress.net
24,Module 1. Khai thác dữ liệu và thông tin,1,1,Google Scholar được dùng để:,Tìm kiếm tài khoản Gmail,Tìm thông tin thời tiết,Tìm tài liệu học thuật,Tra cứu hình ảnh,C,Tìm tài liệu học thuật
25,Module 1. Khai thác dữ liệu và thông tin,1,1,Toán tử “OR” dùng để:,Phát triển nội dung số.,Tìm một trong các từ khóa,Quan sát lại quy trình,Tìm cụm từ trong tiêu đề,B,Tìm một trong các từ khóa
26,Module 1. Khai thác dữ liệu và thông tin,1,1,Long-tail keyword là:,Từ khóa dài và cụ thể,Từ khóa lặp lại,Ghi âm cuộc họp bí mật,Từ khóa phổ biến,A,Từ khóa dài và cụ thể
27,Module 1. Khai thác dữ liệu và thông tin,1,1,"Để tìm bài PDF, bạn dùng toán tử nào?",filetype:pdf,ext:.pdf,docfile:pdf,findtype:pdf,A,filetype:pdf
28,Module 1. Khai thác dữ liệu và thông tin,1,1,Ví dụ nào là từ khóa rõ ràng và cụ thể?,Người đọc nghi ngờ mọi thông tin,Công nghệ blockchain trong logistics,Sinh viên hiểu rõ luật bản quyền,Giao tiếp bằng lời nói trực tiếp,B,Công nghệ blockchain trong logistics
